Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BK-18650-PC2,1,Battery,
BT2,Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles,1,Battery_Cell,
"C1, C13, C2, C3, C4, C5, C6, C7, C8, C9",0805,10,10uf,
C10,0805,1,2.2uf,
"C11, C12",0805,2,0.25pF,
D1,0805,1,1N5819,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
J5,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
Q1,SOT-23,1,DMG3415U,
Q2,TO-92L_Wide,1,BC547,
"R1, R10, R11, R12, R14, R2, R5, R6, R7, R8, R9",0805,11,10k,
"R13, R3, R4",0805,3,5.2k,
"SW1, SW2, SW3, SW4",SW_SPST_TL3342,4,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,1,STM32F411CCUx,
U2,SOT-23-5,1,AP2204K-3.3,
U3,ASAIR_AM2302_P2.54mm_Vertical,1,AM2302,
Y1,Crystal_AT310_D3.0mm_L10.0mm_Vertical,1,Crystal,
