Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.06,-108.582,0.0,top
BT2,151.85,-68.000121,180.0,bottom
C1,108.35,-56.2,180.0,top
C10,119.3,-60.1,180.0,top
C11,136.125,-70.7,180.0,top
C12,136.1125,-68.7,0.0,top
C13,129.5,-62.4,0.0,top
C2,108.35,-54.1,180.0,top
C3,108.35,-58.3,180.0,top
C4,127.2125,-73.0875,270.0,top
C5,108.9,-122.332,90.0,top
C6,100.65,-79.75,270.0,top
C7,102.75,-79.75,270.0,top
C8,115.3,-79.55,270.0,top
C9,113.2,-79.55,270.0,top
D1,108.3375,-60.3,180.0,top
J1,95.21,-71.6,270.0,top
J2,144.21,-52.6,90.0,bottom
J3,168.5,-75.33,0.0,top
J4,125.66,-83.5,90.0,top
J5,125.66,-122.082,270.0,bottom
Q1,108.5,-64.3375,270.0,top
Q2,118.46,-53.87,180.0,top
R1,106.8,-69.8,180.0,top
R10,125.8,-79.5125,270.0,top
R11,122.9,-79.5125,270.0,top
R12,119.3,-58.1,180.0,top
R13,151.0875,-95.682,180.0,top
R14,105.6,-79.7125,270.0,top
R2,106.7875,-71.9,180.0,top
R3,102.7,-64.8125,90.0,top
R4,106.8,-74.0,0.0,top
R5,105.0,-64.8,270.0,top
R6,124.6,-72.4,270.0,top
R7,129.6,-65.7,180.0,top
R8,117.4,-79.5,270.0,top
R9,120.0,-79.5,270.0,top
SW1,110.15,-92.382,180.0,top
SW2,119.0,-92.382,180.0,top
SW3,127.8,-92.382,180.0,top
SW4,136.6,-92.382,180.0,top
U1,122.05,-65.9375,270.0,top
U2,109.6375,-79.55,180.0,top
U3,153.69,-91.482,0.0,top
Y1,132.3,-69.7,270.0,top
